/home/joowoniese/anaconda3/envs/musiclabeling/bin/python3.9 /home/joowoniese/musicModel/LanguageClassifier/Train/Classifier_Advanced.py 
Common files: 38702

Starting Fold 1/5...
Fold 1 Alpha values: [0.43111352063422725, 0.1474810932579621, 0.18716916333233652, 0.1193868952108886, 0.1148493275645854]
Fold 1:
  Train class distribution: Counter({'spanish': 8551, 'korean': 8226, 'french': 6659, 'japanese': 5247, 'chinese': 2278})
  Validation class distribution: Counter({'spanish': 2138, 'korean': 2057, 'french': 1665, 'japanese': 1311, 'chinese': 570})
Fold 1, Epoch [1/50], Train Loss: 0.0275, Train Acc: 84.85%, Val Loss: 0.3610, Val Acc: 40.33%
Fold 1, Epoch [2/50], Train Loss: 0.0082, Train Acc: 94.82%, Val Loss: 0.3676, Val Acc: 55.88%
Fold 1, Epoch [3/50], Train Loss: 0.0050, Train Acc: 96.64%, Val Loss: 0.0153, Val Acc: 89.14%
Fold 1, Epoch [4/50], Train Loss: 0.0035, Train Acc: 97.60%, Val Loss: 0.3663, Val Acc: 55.76%
Fold 1, Epoch [5/50], Train Loss: 0.0028, Train Acc: 98.07%, Val Loss: 0.0137, Val Acc: 92.03%
Fold 1, Epoch [6/50], Train Loss: 0.0025, Train Acc: 98.41%, Val Loss: 0.0050, Val Acc: 96.60%
Fold 1, Epoch [7/50], Train Loss: 0.0021, Train Acc: 98.56%, Val Loss: 0.0096, Val Acc: 95.25%
Fold 1, Epoch [8/50], Train Loss: 0.0017, Train Acc: 98.86%, Val Loss: 0.0484, Val Acc: 79.12%
Fold 1, Epoch [9/50], Train Loss: 0.0021, Train Acc: 98.68%, Val Loss: 0.0006, Val Acc: 99.57%
Fold 1, Epoch [10/50], Train Loss: 0.0017, Train Acc: 99.00%, Val Loss: 0.0323, Val Acc: 85.16%
Fold 1, Epoch [11/50], Train Loss: 0.0012, Train Acc: 99.23%, Val Loss: 0.2219, Val Acc: 57.46%
Fold 1, Epoch [12/50], Train Loss: 0.0016, Train Acc: 99.08%, Val Loss: 0.0026, Val Acc: 98.09%
Fold 1, Epoch [13/50], Train Loss: 0.0011, Train Acc: 99.20%, Val Loss: 0.0086, Val Acc: 95.81%
Fold 1, Epoch [14/50], Train Loss: 0.0013, Train Acc: 99.20%, Val Loss: 0.1601, Val Acc: 61.93%
Fold 1, Epoch [15/50], Train Loss: 0.0012, Train Acc: 99.21%, Val Loss: 0.0004, Val Acc: 99.74%
